time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-03T18:29:47.836Z,23.7841,121.788,19.784,4.9,mww,172,57,0.596,0.61,us,us7000m9q2,2024-04-03T19:34:13.040Z,"28 km SE of Hualien City, Taiwan",earthquake,3.6,3.708,0.083,14,reviewed,us,us
2024-04-03T18:09:31.035Z,41.8699,141.5461,111.896,4.5,mb,76,105,1.139,0.76,us,us7000m9ps,2024-04-03T19:32:23.040Z,"62 km ESE of Shikabe, Japan",earthquake,3.79,7.363,0.046,141,reviewed,us,us
2024-04-03T17:39:11.773Z,23.8625,121.6255,22.022,4.2,mwr,81,71,0.556,0.72,us,us7000m9pl,2024-04-03T18:19:05.040Z,"12 km S of Hualien City, Taiwan",earthquake,3.89,5.174,0.066,22,reviewed,us,us
2024-04-03T17:18:58.967Z,24.0439,121.785,30.498,4.1,mwr,67,79,0.726,0.9,us,us7000m9ph,2024-04-03T17:41:00.040Z,"19 km ENE of Hualien City, Taiwan",earthquake,2.74,5.154,0.068,21,reviewed,us,us
2024-04-03T15:55:12.982Z,24.1766,121.702,22.262,4.8,mb,52,37,0.574,1.39,us,us7000m9mh,2024-04-03T23:52:49.091Z,"24 km NNE of Hualien City, Taiwan",earthquake,4.63,3.499,0.081,47,reviewed,us,us
2024-04-03T15:54:39.209Z,24.164,121.6594,24.788,4.6,mb,104,31,0.566,0.67,us,us7000m9mn,2024-04-03T16:45:28.040Z,"21 km NNE of Hualien City, Taiwan",earthquake,3.41,4.482,0.061,90,reviewed,us,us
2024-04-03T15:52:50.530Z,18.9706666666667,-68.3453333333333,19.24,2.93,md,3,287,0.455,0.19,pr,pr71444518,2024-04-03T16:27:43.700Z,"43 km N of Punta Cana, Dominican Republic",earthquake,6.56,11.57,0.0949645340496628,3,reviewed,pr,pr
2024-04-03T15:42:36.076Z,24.1508,121.7036,20.264,4.5,mwr,54,48,0.597,0.83,us,us7000m9m8,2024-04-03T16:14:40.040Z,"21 km NNE of Hualien City, Taiwan",earthquake,4.31,5.134,0.061,26,reviewed,us,us
2024-04-03T15:39:09.425Z,24.1334,121.6798,21.084,4.5,mwr,79,65,0.601,0.74,us,us7000m9m4,2024-04-03T16:08:23.040Z,"18 km NNE of Hualien City, Taiwan",earthquake,4.45,4.842,0.063,24,reviewed,us,us
2024-04-03T15:32:28.070Z,35.66483333,-97.4005,6.45,2.54,ml,95,23,0.02699470272,0.16,ok,ok2024gpco,2024-04-04T23:49:02.040Z,"6 km W of Arcadia, Oklahoma",earthquake,,0.3,0.25,48,reviewed,ok,ok
2024-04-03T14:49:16.055Z,24.1534,121.8328,28.348,4.3,mwr,77,49,0.662,0.83,us,us7000m9m0,2024-04-03T17:30:47.426Z,"30 km NE of Hualien City, Taiwan",earthquake,2.47,3.742,0.06,27,reviewed,us,us
2024-04-03T13:51:56.639Z,-36.9623,-72.8961,36.072,5.2,mww,121,38,0.319,1.47,us,us7000m9lk,2024-04-04T03:34:40.103Z,"12 km ESE of Chiguayante, Chile",earthquake,4.49,5.506,0.086,13,reviewed,us,us
